セクション名,カード名,URL,data-link-id
はじめに,RPAとは - 理念（パーパス、ミッション、ビジョン）,https://1drv.ms/u/c/04d75a8d40ea301c/ERF66KVye-VDnDjSDGfc8VsBLxmr4rs-a0c14_lS5AnQTg?e=6UOeMQ,intro-rpa-philosophy
はじめに,RPAとは - バリュー,https://1drv.ms/u/c/04d75a8d40ea301c/EcO5w0XyO5lEjq1URhZvLZcBZX-XuzHZY2yrhQ5DllesQQ?e=v9aIgO,intro-rpa-value
はじめに,サポート体制 - ローコード市民開発の効果,https://1drv.ms/u/c/04d75a8d40ea301c/EWMVbL1UOdlLlVHCuOHSt8YBZgiN2cpQi0hUmvUOsd2jmQ?e=h7g5oc,intro-support-lowcode
はじめに,規約ガイド - 開発方針,https://www.yahoo.co.jp/,intro-terms-policy
はじめに,規約ガイド - 開発ガイドライン,https://www.yahoo.co.jp/,intro-terms-guideline
はじめに,規約ガイド - コーディング規約,https://www.yahoo.co.jp/,intro-terms-coding
はじめに,稼働状況 - 稼働状況と開発者ランキング,https://www.yahoo.co.jp/,intro-status-ranking
はじめに,稼働状況 - 本番VM稼働スケジュール（昨日実績）,https://www.yahoo.co.jp/,intro-status-schedule
準備,Step 1: 利用申請,https://www.yahoo.co.jp/,prep-step1
準備,Step 2: 環境構築,https://www.yahoo.co.jp/,prep-step2
準備,Step 3: 初期設定,https://www.yahoo.co.jp/,prep-step3
試行したい,ミニロボ,https://www.yahoo.co.jp/,try-mini
試行したい,サンプルロボ,https://www.yahoo.co.jp/,try-sample
試行したい,教育コンテンツ,https://www.yahoo.co.jp/,try-edu
ハンズオン研修,入門コース,https://www.yahoo.co.jp/,training-intro
ハンズオン研修,初級コース,https://www.yahoo.co.jp/,training-beginner
ハンズオン研修,中級コース,https://www.yahoo.co.jp/,training-intermediate
ハンズオン研修,上級コース,https://www.yahoo.co.jp/,training-advanced
開発したい,開発フェーズ,https://www.yahoo.co.jp/,dev-phase
開発したい,プレ本番フェーズ,https://www.yahoo.co.jp/,dev-preprod
開発したい,本番フェーズ,https://www.yahoo.co.jp/,dev-prod
